comicsNumber,comicsID,comicsName,comicsLink,comicsCover
0,10-years-to-death-2021,10 Years to Death (2021),https://readcomicsonline.ru/comic/10-years-to-death-2021,https://readcomicsonline.ru/uploads/manga/10-years-to-death-2021/cover/cover_250x350.jpg
1,1000-storms-2021,1000 Storms (2021-),https://readcomicsonline.ru/comic/1000-storms-2021,https://readcomicsonline.ru/uploads/manga/1000-storms-2021/cover/cover_250x350.jpg
